date,LOCATION_POSTAL_CODE,ORGANIZATION_ID,OCCUPANCY_RATE_BEDS,OCCUPANCY_RATE_ROOMS,SERVICE_USER_COUNT,CAPACITY_ACTUAL_BED,CAPACITY_ACTUAL_ROOM,postal_code,operator_registration_number,calculated_host_listings_count,price,minimum_nights,reviews_per_month,availability_365
2021-01-01,L4L 8P5,1,,100.0,67.0,,51.0,L4L,,,,,,
2021-01-01,M1E 2M6,2,91.67,100.0,33.5,12.0,16.0,M1E,,,,,,
2021-01-01,M1E 2N8,1,,100.0,37.0,,18.0,M1E,,,,,,
2021-01-01,M1E 2P4,1,,76.0,26.0,,25.0,M1E,,,,,,
2021-01-01,M1E 2P9,2,,100.0,26.0,,12.0,M1E,,,,,,
2021-01-01,M1H 2X1,1,100.0,,37.0,37.0,,M1H,,,,,,
2021-01-01,M1H 2Z1,1,,98.48,130.0,,132.0,M1H,,,,,,
2021-01-01,M1K 1M2,1,100.0,,30.0,30.0,,M1K,,,,,,
2021-01-01,M1K 2B5,1,100.0,,46.0,46.0,,M1K,,,,,,
2021-01-01,M1L 4A1,2,100.0,,19.5,19.5,,M1L,,,,,,
2021-01-01,M1M 1M4,1,,100.0,66.0,,65.0,M1M,,,,,,
2021-01-01,M1M 1P8,1,92.42,,61.0,66.0,,M1M,,,,,,
2021-01-01,M1P 4V8,1,,100.0,156.0,,50.0,M1P,,,,,,
2021-01-01,M1T 3G2,3,,96.96999999999998,111.33333333333333,,99.33333333333333,M1T,,,,,,
2021-01-01,M2J 4R1,2,,95.65,125.0,,46.0,M2J,,,,,,
2021-01-01,M2J 4R2,2,,95.23,138.5,,131.0,M2J,,,,,,
2021-01-01,M2M 3S3,1,96.15,,25.0,26.0,,M2M,,,,,,
2021-01-01,M2M 3T3,2,97.14500000000001,,61.5,62.5,,M2M,,,,,,
2021-01-01,M3B 2T5,1,81.25,,13.0,16.0,,M3B,,,,,,
2021-01-01,M3L 1A5,7,,94.13571428571429,34.57142857142857,,18.714285714285715,M3L,,,,,,
2021-01-01,M3M 2X4,1,83.33,,10.0,12.0,,M3M,,,,,,
2021-01-01,M3N 0E3,1,100.0,,13.0,13.0,,M3N,,,,,,
2021-01-01,M3N 1X1,2,,99.315,73.0,,38.5,M3N,,,,,,
2021-01-01,M4C 1L7,1,100.0,,41.0,41.0,,M4C,,,,,,
2021-01-01,M4K 3W5,1,76.92,,10.0,13.0,,M4K,,,,,,
2021-01-01,M4L 1G6,2,,100.0,20.5,,20.5,M4L,,,,,,
2021-01-01,M4M 2M5,1,,65.22,65.0,,23.0,M4M,,,,,,
2021-01-01,M4M 2V8,1,83.33,,15.0,18.0,,M4M,,,,,,
2021-01-01,M4M 3C3,1,100.0,,32.0,32.0,,M4M,,,,,,
2021-01-01,M4P 2L2,1,,98.7,119.0,,77.0,M4P,,,,,,
2021-01-01,M4T 1C1,2,91.75,,22.5,24.5,,M4T,,,,,,
2021-01-01,M4W 1J1,1,100.0,,18.0,18.0,,M4W,,,,,,
2021-01-01,M4W 2N1,1,96.0,,24.0,25.0,,M4W,,,,,,
2021-01-01,M4X 1K9,1,72.73,,8.0,11.0,,M4X,,,,,,
2021-01-01,M4Y 2H6,1,69.57,,16.0,23.0,,M4Y,,,,,,
2021-01-01,M4Y 2X9,1,100.0,,13.0,13.0,,M4Y,,,,,,
2021-01-01,M5A 1C1,1,100.0,,44.0,44.0,,M5A,,,,,,
2021-01-01,M5A 1T3,2,90.0,,22.5,25.0,,M5A,,,,,,
2021-01-01,M5A 1Z8,1,100.0,,6.0,6.0,,M5A,,,,,,
2021-01-01,M5A 2A5,1,86.49,,32.0,37.0,,M5A,,,,,,
2021-01-01,M5A 2G5,2,,91.66499999999999,5.5,,3.5,M5A,,,,,,
2021-01-01,M5A 2G6,1,,100.0,26.0,,21.0,M5A,,,,,,
2021-01-01,M5A 2N2,6,90.55499999999999,,34.5,37.166666666666664,,M5A,,,,,,
2021-01-01,M5A 2N3,1,98.0,,49.0,50.0,,M5A,,,,,,
2021-01-01,M5A 2N9,1,81.48,,22.0,27.0,,M5A,,,,,,
2021-01-01,M5A 2R5,3,96.29666666666667,,77.0,78.66666666666667,,M5A,,,,,,
2021-01-01,M5A 2R9,1,,91.43,86.0,,35.0,M5A,,,,,,
2021-01-01,M5A 2V2,2,67.16,74.07,52.5,67.0,27.0,M5A,,,,,,
2021-01-01,M5A 3G1,1,,100.0,7.0,,7.0,M5A,,,,,,
2021-01-01,M5A 3S7,1,,100.0,5.0,,5.0,M5A,,,,,,
2021-01-01,M5A 4H5,1,100.0,,5.0,5.0,,M5A,,,,,,
2021-01-01,M5B 1G3,1,,100.0,47.0,,33.0,M5B,,,,,,
2021-01-01,M5B 1G6,1,100.0,,12.0,12.0,,M5B,,,,,,
2021-01-01,M5B 1H3,1,100.0,,28.0,28.0,,M5B,,,,,,
2021-01-01,M5B 2C2,1,,100.0,45.0,,45.0,M5B,,,,,,
2021-01-01,M5B 2G8,1,,99.52,222.0,,210.0,M5B,,,,,,
2021-01-01,M5B 2P3,1,98.11,,52.0,53.0,,M5B,,,,,,
2021-01-01,M5C 2H4,1,100.0,,52.0,52.0,,M5C,,,,,,
2021-01-01,M5E 1A9,1,96.43,,27.0,28.0,,M5E,,,,,,
2021-01-01,M5E 1G5,1,,100.0,52.0,,48.0,M5E,,,,,,
2021-01-01,M5H 1H9,2,98.91499999999999,,25.0,25.5,,M5H,,,,,,
2021-01-01,M5J 1S8,2,,98.89,97.0,,93.0,M5J,,,,,,
2021-01-01,M5R 2T9,2,100.0,100.0,7.0,6.0,3.0,M5R,,,,,,
2021-01-01,M5R 2W7,1,84.0,,21.0,25.0,,M5R,,,,,,
2021-01-01,M5S 2H1,1,100.0,,40.0,40.0,,M5S,,,,,,
2021-01-01,M5S 2P1,1,75.0,,6.0,8.0,,M5S,,,,,,
2021-01-01,M5S 2P9,1,66.67,,6.0,9.0,,M5S,,,,,,
2021-01-01,M5T 2K7,1,100.0,,19.0,19.0,,M5T,,,,,,
2021-01-01,M5T 2M8,1,100.0,,5.0,5.0,,M5T,,,,,,
2021-01-01,M5T 2V4,1,,96.97,74.0,,66.0,M5T,,,,,,
2021-01-01,M5T 2V5,1,,82.54,168.0,,63.0,M5T,,,,,,
2021-01-01,M5T 2V9,1,94.12,,16.0,17.0,,M5T,,,,,,
2021-01-01,M5T 3B3,3,,98.48333333333333,26.333333333333332,,26.666666666666668,M5T,,,,,,
2021-01-01,M5V 1A3,4,95.57,,40.25,43.0,,M5V,,,,,,
2021-01-01,M5V 1G8,2,97.59,,41.0,43.0,,M5V,,,,,,
2021-01-01,M5V 2H3,1,91.67,,11.0,12.0,,M5V,,,,,,
2021-01-01,M5V 3G9,1,94.0,,47.0,50.0,,M5V,,,,,,
2021-01-01,M5V 3W3,2,100.0,,27.5,27.5,,M5V,,,,,,
2021-01-01,M6A 2W9,1,100.0,,42.0,42.0,,M6A,,,,,,
2021-01-01,M6C 2R5,1,100.0,,20.0,20.0,,M6C,,,,,,
2021-01-01,M6E 4X3,1,100.0,,16.0,16.0,,M6E,,,,,,
2021-01-01,M6G 1M2,1,66.67,,8.0,12.0,,M6G,,,,,,
2021-01-01,M6G 2C4,1,73.33,,11.0,15.0,,M6G,,,,,,
2021-01-01,M6G 2N1,1,100.0,,35.0,35.0,,M6G,,,,,,
2021-01-01,M6G 3B1,1,,68.75,27.0,,16.0,M6G,,,,,,
2021-01-01,M6H 3Z5,1,91.67,,22.0,24.0,,M6H,,,,,,
2021-01-01,M6J 3M4,1,55.56,,5.0,9.0,,M6J,,,,,,
2021-01-01,M6K 1E9,1,100.0,,43.0,43.0,,M6K,,,,,,
2021-01-01,M6K 3C3,2,99.59,,83.0,83.5,,M6K,,,,,,
2021-01-01,M6N 3V7,1,100.0,,51.0,51.0,,M6N,,,,,,
2021-01-01,M6P 1Y5,1,97.96,,48.0,49.0,,M6P,,,,,,
2021-01-01,M6R 2K3,1,,97.56,40.0,,41.0,M6R,,,,,,
2021-01-01,M8Y 1A3,1,100.0,,18.0,18.0,,M8Y,,,,,,
2021-01-01,M9V 1P9,2,82.31,,11.5,14.0,,M9V,,,,,,
2021-01-01,M9V 2X6,2,100.0,,7.5,7.5,,M9V,,,,,,
2021-01-01,M9W 6P8,1,,100.0,153.0,,145.0,M9W,,,,,,
2021-01-02,L4L 8P5,1,,100.0,67.0,,51.0,L4L,,,,,,
2021-01-02,M1E 2M6,2,91.67,100.0,33.5,12.0,16.0,M1E,,,,,,
2021-01-02,M1E 2N8,1,,100.0,37.0,,18.0,M1E,,,,,,
2021-01-02,M1E 2P4,1,,76.0,26.0,,25.0,M1E,,,,,,
2021-01-02,M1E 2P9,2,,100.0,25.0,,11.5,M1E,,,,,,
2021-01-02,M1H 2X1,1,100.0,,37.0,37.0,,M1H,,,,,,
2021-01-02,M1H 2Z1,1,,100.0,132.0,,132.0,M1H,,,,,,
2021-01-02,M1K 1M2,1,100.0,,30.0,30.0,,M1K,,,,,,
2021-01-02,M1K 2B5,1,97.78,,44.0,45.0,,M1K,,,,,,
2021-01-02,M1L 4A1,2,100.0,,19.5,19.5,,M1L,,,,,,
2021-01-02,M1M 1M4,1,,100.0,66.0,,65.0,M1M,,,,,,
2021-01-02,M1M 1P8,1,92.42,,61.0,66.0,,M1M,,,,,,
2021-01-02,M1P 4V8,1,,100.0,156.0,,50.0,M1P,,,,,,
2021-01-02,M1T 3G2,3,,96.96999999999998,111.66666666666667,,99.66666666666667,M1T,,,,,,
2021-01-02,M2J 4R1,2,,95.65,125.0,,46.0,M2J,,,,,,
2021-01-02,M2J 4R2,2,,94.445,138.5,,128.5,M2J,,,,,,
2021-01-02,M2M 3S3,1,96.15,,25.0,26.0,,M2M,,,,,,
2021-01-02,M2M 3T3,2,100.0,,62.5,62.5,,M2M,,,,,,
2021-01-02,M3B 2T5,1,81.25,,13.0,16.0,,M3B,,,,,,
2021-01-02,M3L 1A5,7,,96.15285714285714,35.0,,18.857142857142858,M3L,,,,,,
2021-01-02,M3M 2X4,1,83.33,,10.0,12.0,,M3M,,,,,,
2021-01-02,M3N 0E3,1,100.0,,13.0,13.0,,M3N,,,,,,
2021-01-02,M3N 1X1,2,,100.0,73.0,,38.0,M3N,,,,,,
2021-01-02,M4C 1L7,1,100.0,,41.0,41.0,,M4C,,,,,,
2021-01-02,M4K 3W5,1,76.92,,10.0,13.0,,M4K,,,,,,
2021-01-02,M4L 1G6,2,,100.0,20.5,,20.5,M4L,,,,,,
2021-01-02,M4M 2M5,1,,65.22,65.0,,23.0,M4M,,,,,,
2021-01-02,M4M 2V8,1,83.33,,15.0,18.0,,M4M,,,,,,
2021-01-02,M4M 3C3,1,100.0,,32.0,32.0,,M4M,,,,,,
2021-01-02,M4P 2L2,1,,98.73,120.0,,79.0,M4P,,,,,,
2021-01-02,M4T 1C1,2,89.58500000000001,,22.0,24.5,,M4T,,,,,,
2021-01-02,M4W 1J1,1,100.0,,18.0,18.0,,M4W,,,,,,
2021-01-02,M4W 2N1,1,96.0,,24.0,25.0,,M4W,,,,,,
2021-01-02,M4X 1K9,1,72.73,,8.0,11.0,,M4X,,,,,,
2021-01-02,M4Y 2H6,1,69.57,,16.0,23.0,,M4Y,,,,,,
2021-01-02,M4Y 2X9,1,100.0,,13.0,13.0,,M4Y,,,,,,
2021-01-02,M5A 1C1,1,100.0,,44.0,44.0,,M5A,,,,,,
2021-01-02,M5A 1T3,2,90.0,,22.5,25.0,,M5A,,,,,,
2021-01-02,M5A 1Z8,1,100.0,,6.0,6.0,,M5A,,,,,,
2021-01-02,M5A 2A5,1,86.49,,32.0,37.0,,M5A,,,,,,
2021-01-02,M5A 2G5,2,,91.66499999999999,5.5,,3.5,M5A,,,,,,
2021-01-02,M5A 2G6,1,,100.0,26.0,,21.0,M5A,,,,,,
2021-01-02,M5A 2N2,6,90.87,,34.666666666666664,37.166666666666664,,M5A,,,,,,
2021-01-02,M5A 2N3,1,97.92,,47.0,48.0,,M5A,,,,,,
2021-01-02,M5A 2N9,1,92.59,,25.0,27.0,,M5A,,,,,,
2021-01-02,M5A 2R5,3,96.29666666666667,,77.0,78.66666666666667,,M5A,,,,,,
2021-01-02,M5A 2R9,1,,91.43,86.0,,35.0,M5A,,,,,,
2021-01-02,M5A 2V2,2,67.16,74.07,52.5,67.0,27.0,M5A,,,,,,
2021-01-02,M5A 3G1,1,,100.0,7.0,,7.0,M5A,,,,,,
2021-01-02,M5A 3S7,1,,100.0,5.0,,5.0,M5A,,,,,,
2021-01-02,M5A 4H5,1,100.0,,5.0,5.0,,M5A,,,,,,
2021-01-02,M5B 1G3,1,,100.0,47.0,,33.0,M5B,,,,,,
2021-01-02,M5B 1G6,1,100.0,,12.0,12.0,,M5B,,,,,,
2021-01-02,M5B 1H3,1,100.0,,28.0,28.0,,M5B,,,,,,
2021-01-02,M5B 2C2,1,,100.0,45.0,,45.0,M5B,,,,,,
2021-01-02,M5B 2G8,1,,99.52,222.0,,210.0,M5B,,,,,,
2021-01-02,M5B 2P3,1,96.23,,51.0,53.0,,M5B,,,,,,
2021-01-02,M5C 2H4,1,100.0,,52.0,52.0,,M5C,,,,,,
2021-01-02,M5E 1A9,1,100.0,,28.0,28.0,,M5E,,,,,,
2021-01-02,M5E 1G5,1,,100.0,52.0,,48.0,M5E,,,,,,
2021-01-02,M5H 1H9,2,100.0,,25.5,25.5,,M5H,,,,,,
2021-01-02,M5J 1S8,2,,98.89,97.0,,93.0,M5J,,,,,,
2021-01-02,M5R 2T9,2,100.0,100.0,7.0,6.0,3.0,M5R,,,,,,
2021-01-02,M5R 2W7,1,84.0,,21.0,25.0,,M5R,,,,,,
2021-01-02,M5S 2H1,1,97.5,,39.0,40.0,,M5S,,,,,,
2021-01-02,M5S 2P1,1,75.0,,6.0,8.0,,M5S,,,,,,
2021-01-02,M5S 2P9,1,66.67,,6.0,9.0,,M5S,,,,,,
2021-01-02,M5T 2K7,1,100.0,,19.0,19.0,,M5T,,,,,,
2021-01-02,M5T 2M8,1,100.0,,5.0,5.0,,M5T,,,,,,
2021-01-02,M5T 2V4,1,,96.97,74.0,,66.0,M5T,,,,,,
2021-01-02,M5T 2V5,1,,82.54,168.0,,63.0,M5T,,,,,,
2021-01-02,M5T 2V9,1,100.0,,17.0,17.0,,M5T,,,,,,
2021-01-02,M5T 3B3,3,,98.48333333333333,26.333333333333332,,26.666666666666668,M5T,,,,,,
2021-01-02,M5V 1A3,4,95.52250000000001,,39.5,42.5,,M5V,,,,,,
2021-01-02,M5V 1G8,2,97.59,,41.0,43.0,,M5V,,,,,,
2021-01-02,M5V 2H3,1,91.67,,11.0,12.0,,M5V,,,,,,
2021-01-02,M5V 3G9,1,94.0,,47.0,50.0,,M5V,,,,,,
2021-01-02,M5V 3W3,2,98.44,,27.0,27.5,,M5V,,,,,,
2021-01-02,M6A 2W9,1,100.0,,42.0,42.0,,M6A,,,,,,
2021-01-02,M6C 2R5,1,100.0,,20.0,20.0,,M6C,,,,,,
2021-01-02,M6E 4X3,1,93.75,,15.0,16.0,,M6E,,,,,,
